@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {STOP, MOVE, STEP}

@data
-0.16279602,-0.011962891,9.897629,0.005325317,-0.0234375,0.010650635,2.432048852,STOP
-0.16279602,-0.011962891,9.897629,0.005325317,-0.0234375,0.010650635,2.432048852,STOP
-0.17237854,0.011962891,9.8736725,0,-0.008529663,0.005325317,2.428314213,STOP
-0.26335144,0.05027771,10.1657715,0.006393433,-0.00958252,0.006393433,2.489772801,STOP
-0.12927246,0.03111267,9.993393,0.013854981,-0.013854981,-0.003189087,2.477272048,STOP
-0.13885498,0.04548645,10.046066,0.002136231,0.003189087,0.002136231,2.488708425,STOP
-0.15800476,0.13645935,9.916779,-0.001052856,0.003189087,-0.003189087,2.473545183,STOP
-0.15800476,0.13645935,9.916779,-0.001052856,0.003189087,-0.003189087,2.473545183,STOP
-0.24899292,-0.03590393,9.806641,0.006393433,-0.006393433,-0.001068115,2.382034396,STOP
-0.24899292,-0.05505371,9.878464,-0.002105713,-0.00958252,-0.001068115,2.393077914,STOP
-0.22505188,0.11730957,9.959869,0.009597778,-0.001068115,-0.013839722,2.465431117,STOP
-0.04309082,0.08378601,10.00296,-0.001052856,0.005325317,0.005325317,2.510650583,STOP
-0.296875,0.06942749,9.979019,0,-0.002136231,0.00958252,2.437892873,STOP
-0.296875,0.06942749,9.979019,0,-0.002136231,0.00958252,2.437892873,STOP
-0.22984314,0.09815979,9.945511,0.002136231,-0.006393433,-0.002136231,2.45399097,STOP
-0.21546936,0.11251831,9.907196,0.006393433,-0.022369385,0.005325317,2.452659596,STOP
-0.21546936,0.02154541,9.892838,0.013854981,-0.01171875,0.003189087,2.428192258,STOP
-0.22026062,0.026321411,9.92157,0.010650635,0.002136231,0.00958252,2.434570357,STOP
-0.22026062,0.026321411,9.92157,0.010650635,0.002136231,0.00958252,2.434570357,STOP
-0.30645752,0.08378601,9.931137,0.002136231,-0.004257202,-0.001068115,2.42765043,STOP
-0.19152832,0.06942749,9.844955,0.006393433,-0.01171875,0.013854981,2.432311901,STOP
-0.19152832,0.04069519,9.653412,0.006393433,0.005325317,-0.005325317,2.377243076,STOP
-0.19152832,0.03111267,9.854523,0.010650635,-0.00958252,0.002136231,2.426189496,STOP
-0.2106781,-0.03111267,9.964661,-0.008499146,0.013839722,-0.002136231,2.428592771,STOP
-0.2106781,-0.03111267,9.964661,-0.008499146,0.013839722,-0.002136231,2.428592771,STOP
-0.2106781,0.04548645,9.979019,0.008529663,-0.008529663,0.001068115,2.455589253,STOP
-0.16279602,0.06463623,9.8736725,0.030899048,-0.01171875,-0.005325317,2.45160294,STOP
-0.36390686,-0.007171631,9.979019,0.009597778,-0.004257202,0.002136231,2.404384572,STOP
-0.20588684,0.011962891,9.801849,0.007461548,-0.002136231,-0.002136231,2.40384665,STOP
-0.20588684,0.011962891,9.801849,0.007461548,-0.002136231,-0.002136231,2.40384665,STOP
-0.13885498,0.08378601,9.98381,0.001068115,-0.008529663,0.004257202,2.482452286,STOP
-0.25378418,0.07899475,10.050858,0.007461548,-0.005325317,0.002136231,2.47088253,STOP
-0.21546936,0.16519165,9.969452,-0.011703491,0.005325317,-0.005325317,2.4768677,STOP
-0.14364624,0.04548645,9.864105,-0.006378174,-0.003204346,-0.008514404,2.439891759,STOP
-0.18673706,0.03590393,9.974243,-0.003173828,-0.005325317,-0.011703491,2.45505901,STOP
-0.18673706,0.03590393,9.974243,-0.003173828,-0.005325317,-0.011703491,2.45505901,STOP
-0.22026062,0.05984497,9.892838,-0.013824463,-0.001068115,0.001068115,2.429649472,STOP
-0.25856018,0.08378601,9.945511,0.003204346,-0.017044067,-0.008514404,2.443485294,STOP
-0.26335144,0.01675415,9.902405,0.003204346,0.006393433,0.004257202,2.414753014,STOP
-0.11012268,0.007171631,9.907196,0.015991211,0.012786865,-0.004257202,2.455059041,STOP
-0.11012268,0.007171631,9.907196,0.015991211,0.012786865,-0.004257202,2.455059041,STOP
-0.1771698,0.09336853,9.988602,0.001068115,0.00958252,-0.002136231,2.476467211,STOP
-0.22026062,-0.05027771,9.854523,0.005325317,-0.007461548,-0.001068115,2.397327497,STOP
-0.22505188,-0.007171631,9.931137,0.012786865,0.007461548,-0.001068115,2.427925089,STOP
-0.2106781,0.12689209,10.007751,0.007461548,-0.015975952,0.007461548,2.482856635,STOP
-0.16279602,-0.007171631,10.012543,0.004272461,-0.006393433,-0.005325317,2.461711953,STOP
-0.16279602,-0.007171631,10.012543,0.004272461,-0.006393433,-0.005325317,2.461711953,STOP
-0.1819458,0.026321411,9.830582,0.008529663,-0.002136231,-0.003189087,2.420871819,STOP
-0.2394104,0.05984497,9.988602,0.004272461,-0.006393433,0.008529663,2.453327258,STOP
-0.23461914,0.02154541,9.935928,-0.009567261,0.001068115,-0.008514404,2.428321752,STOP
-0.20588684,0.026321411,9.849731,0.006393433,-0.008529663,0.004257202,2.419139751,STOP
-0.20588684,0.026321411,9.849731,0.006393433,-0.008529663,0.004257202,2.419139751,STOP
-0.22026062,-0.02154541,9.902405,-0.001052856,-0.002136231,0.014907837,2.414886528,STOP
-0.12927246,-0.026321411,9.998184,0.001068115,-0.002136231,0.003189087,2.460914561,STOP
-0.16279602,0.14125061,9.8688965,0.010650635,0.010665894,0.008514404,2.464500431,STOP
-0.2681427,0.011962891,10.007751,-0.001068115,-0.007446289,0.005325317,2.437625769,STOP
-0.19631958,0.10293579,10.103531,-0.001068115,-0.007446289,0.005325317,2.502269774,STOP
-0.19631958,0.10293579,10.103531,0.015975952,0,-0.008529663,2.506530791,STOP
-0.14364624,-0.05027771,9.959869,0.018112183,-0.006378174,0.004257202,2.446014308,STOP
-0.08618164,0.02154541,9.950287,0.007446289,-0.002120972,-0.006393433,2.473274265,STOP
-0.19152832,-0.06942749,10.0269165,-0.005310059,0.006393433,0.001068115,2.440162658,STOP
-0.19631958,0.07899475,9.773117,-0.001068115,-0.011703491,-0.017028809,2.413681014,STOP
-0.19631958,0.07899475,9.773117,-0.001068115,-0.011703491,-0.017028809,2.413681014,STOP
-0.2106781,0.06463623,9.926346,0.004257202,0.004272461,0.005325317,2.446140333,STOP
-0.15322876,0.026321411,10.213654,0.002120972,0.001068115,-0.002136231,2.522216906,STOP
-0.13406372,0.09336853,9.969452,0.001068115,-0.001052856,0.003189087,2.482456231,STOP
-0.19152832,0.02154541,9.988602,0.001068115,-0.008514404,0.00958252,2.454921801,STOP
-0.28729248,0.05027771,9.94072,0.008514404,-0.005325317,-0.006393433,2.428054909,STOP
-0.28729248,0.05027771,9.94072,0.008514404,-0.005325317,-0.006393433,2.428054909,STOP
-0.1484375,0.05505371,9.787491,-0.014907837,0.007461548,0.01171875,2.419799843,STOP
-0.1819458,-0.07899475,10.070007,0.006393433,0.001068115,-0.00958252,2.453864971,STOP
-0.1771698,-0.04069519,9.94072,0.013839722,-0.001052856,-0.003204346,2.434173683,STOP
-0.16758728,0.026321411,9.945511,0.005325317,0.002136231,-0.003204346,2.452392612,STOP
-0.16758728,0.026321411,9.945511,0.005325317,0.002136231,-0.003204346,2.452392612,STOP
-0.11491394,0.12689209,9.854523,0.005325317,0.004272461,-0.004257202,2.467956617,STOP
-0.20588684,0.14125061,9.92157,0.006393433,-0.003189087,0.00958252,2.465831801,STOP
-0.27772522,-0.04069519,9.888046,-0.003204346,-0.002120972,0.002120972,2.391605311,STOP
-0.13885498,0.05505371,9.859314,0.004257202,-0.003189087,0.001068115,2.444942483,STOP
-0.17237854,0.007171631,9.969452,-0.004257202,0.001068115,-0.008529663,2.449996972,STOP
-0.17237854,0.007171631,9.969452,-0.004257202,0.001068115,-0.008529663,2.449996972,STOP
-0.16758728,0.07421875,9.979019,0.00958252,0.013854981,-0.005325317,2.473808247,STOP
-0.19152832,-0.011962891,9.993393,-0.003204346,0.005340576,-0.004257202,2.446674361,STOP
-0.10533142,0.07421875,9.998184,-0.007446289,-0.003189087,0.007461548,2.48990626,STOP
-0.16279602,0.002380371,9.969452,0.013839722,-0.015975952,0.002120972,2.455719018,STOP
-0.16279602,0.002380371,9.969452,0.013839722,-0.015975952,0.002120972,2.455719018,STOP
-0.15800476,0.01675415,9.998184,0.017044067,-0.015975952,0,2.468494364,STOP
-0.2681427,0.03590393,10.079575,-0.00958252,-0.005325317,0.002120972,2.459438428,STOP
-0.1484375,0.02154541,9.974243,-0.003204346,0.002136231,0.007461548,2.461036641,STOP
-0.13885498,-0.026321411,10.012543,0.007446289,0.01171875,-0.003204346,2.463703225,STOP
-0.1197052,0.11730957,9.993393,0.002120972,0.009597778,-0.005325317,2.498279585,STOP
-0.1197052,0.11730957,9.993393,0.002120972,0.009597778,-0.005325317,2.498279585,STOP
-0.19631958,0.06942749,10.0316925,0.004257202,0.007461548,-0.007461548,2.477264403,STOP
-0.27772522,0.07421875,9.806641,0.002120972,-0.006378174,0.003189087,2.401313875,STOP
-0.14364624,-0.04548645,10.017334,-0.002136231,0.014923096,-0.010635376,2.45651627,STOP
-0.19631958,0.03590393,9.816223,0.006393433,-0.004257202,-0.002136231,2.415550196,STOP
-0.09576416,-0.011962891,9.959869,0.013839722,-0.008514404,0.006393433,2.466495418,STOP
-0.09576416,-0.011962891,9.959869,0.013839722,-0.008514404,0.006393433,2.466495418,STOP
-0.1484375,0.04548645,9.878464,-0.031951904,0.005340576,0,2.435890262,STOP
