@relation dataset

@attribute ax real
@attribute ay real 
@attribute az real 
@attribute gx real
@attribute gy real
@attribute gz real
@attribute ave real 
@attribute res {TRUE, FALSE}

@data 
-1.1958466,-0.08114624,10.043762,-0.002120972,-0.052200317,-0.014892578,2.191162047,FALSE
-1.7247314,-0.17378235,9.942886,0.004257202,0.013824463,-0.027679443,2.012157363,FALSE
-1.412735,0.29437256,10.173782,0.02557373,0.001068115,0.02130127,2.270248323,FALSE
-1.1230621,0.37945557,10.348648,0.03729248,-0.021316528,0.015975952,2.410583488,FALSE
-1.3072205,0.15800476,10.29985,0.03729248,-0.021316528,0.015975952,2.296981685,FALSE
-0.92819214,0.5732422,10.279388,0.002136231,0.013824463,0.015975952,2.481643573,FALSE
-0.8401947,0.7067566,10.03418,-0.007446289,-0.021316528,0.02130127,2.473323903,FALSE
-1.1118469,0.6921692,10.575165,-0.03514099,0.023422241,-0.048980713,2.530086578,FALSE
-1.3022461,1.1056519,9.547058,0.22903442,-0.031967163,-0.031936646,2.394874555,FALSE
-1.8827057,0.70051575,10.598434,-0.14805603,-0.09587097,0.0703125,2.317047005,FALSE
-1.8394318,0.30145264,10.353897,-0.14805603,-0.09587097,0.0703125,2.166965453,FALSE
0.7701111,1.1970367,9.300873,0.38882446,-0.104400635,-0.3653717,2.914211315,FALSE
-2.7913513,1.3023834,10.331406,0.35687256,-0.23223877,-0.13847351,2.299827665,FALSE
1.6408234,-0.88061523,10.867172,-0.640213,-0.020248413,0.21411133,2.746791793,FALSE
-4.322418,0.11390686,12.963806,0.48362732,-0.067108154,-1.0673828,2.309730545,FALSE
2.0816803,-6.6851196,8.004974,0.74035645,-0.38563538,-0.07241821,1.035472788,FALSE
-2.2410736,-0.20651245,10.453339,0.74035645,-0.38563538,-0.07241821,2.18652735,FALSE
-3.0192719,1.5460205,10.403366,0.47618103,-0.08203125,0.25672913,2.351573908,FALSE
-6.0272675,2.0441895,8.66861,-0.3611145,0.18959045,-0.09585571,1.081104375,FALSE
-1.2098236,-0.5720978,10.283676,0.654068,-0.25354004,-0.66044617,2.28895565,FALSE
-0.33924866,-2.919342,13.632233,-0.08946228,-0.05645752,0.38349915,2.571045015,FALSE
-3.224228,-1.5117035,9.240662,-0.08946228,-0.05645752,0.38349915,1.103817055,FALSE
1.9737396,-5.0691376,5.430542,-0.36749268,-0.87991333,-0.22795105,0.49191283,FALSE
-0.5410614,-4.4841614,10.527008,0.58483887,-1.1153412,-1.2644501,1.521656018,FALSE
-11.246857,1.2928314,-2.1199799,3.8562622,-0.9672699,-2.2061462,-2.054435825,TRUE
5.386093,-1.2745361,10.577133,-2.1347656,1.0641785,0.8681946,3.138481075,TRUE
-3.5913696,-0.32824707,5.155197,-2.1347656,1.0641785,0.8681946,-0.224796318,TRUE
-1.9992981,2.1981049,12.071411,-2.5310516,-0.053268433,-0.1416626,2.43479155,TRUE
-1.177002,-3.0631256,11.542786,-1.4284973,-0.08203125,-0.28015137,1.468540275,TRUE
-0.5171051,-0.8430023,9.475937,-0.5187683,0.12461853,-0.24180603,1.899265325,TRUE
-2.4054413,0.083618164,6.2919464,0.349411,-0.363266,-0.5240936,1.079883566,TRUE
1.6595612,-1.0068665,19.230759,0.51452637,-0.28549194,0.017044067,5.099495018,TRUE
4.5053253,-9.991318,12.595551,0.51452637,-0.28549194,0.017044067,1.906021168,TRUE
-10.545227,-0.7528534,5.3022766,-0.034072876,0.21090698,0.7584686,-1.507469169,TRUE
-3.3111572,-7.159073,2.3701782,0.572052,0.9874878,1.212265,-1.882,TRUE
1.637497,2.1909637,15.306473,0.00958252,-0.4697876,0.03515625,4.786129055,TRUE
-1.3413696,0.24308777,15.651611,0.061782837,-0.13316345,-0.9033356,3.653778002,TRUE
-3.478424,-6.7760468,1.8976135,0.46446228,-0.3717804,-0.33554077,-1.973098755,TRUE
-1.7270203,1.8092499,9.935654,0.46446228,-0.3717804,-0.33554077,2.62058647,TRUE
0.2505951,-4.673355,6.6003876,0.396286,0.35472107,-0.41011047,0.643478425,TRUE
6.502472,9.555374,13.839401,0.93211365,0.8468628,0.54008484,7.707340163,TRUE
-5.576782,-4.386688,8.015991,1.3784485,-2.0293274,0.8000183,-0.142257625,TRUE
1.2135773,6.000763,12.413467,0.018112183,0.5358124,-0.10864258,4.911479871,TRUE
-1.4500732,3.0883484,7.2966614,0.018112183,0.5358124,-0.10864258,2.238262196,TRUE
0.56715393,-1.7031708,4.100464,-0.74887085,1.3677826,-0.290802,0.55389407,TRUE
0.15283203,-4.191864,6.817154,-0.2673645,0.30677795,-0.47296143,0.627689383,TRUE
-1.3547974,6.600189,6.314636,-0.16403198,0.40797424,0.25354004,2.848998905,TRUE
-1.2260437,-2.4648743,7.700363,-0.010635376,0.10118103,0.3675232,0.999702406,TRUE
0.02696228,1.4816589,15.608658,-0.010635376,0.10118103,0.3675232,4.276660951,TRUE
1.3269348,-0.3422699,15.018814,0.5166626,0.95977783,-0.15551758,4.130035375,TRUE
0.49794006,-8.532684,9.130386,0.876709,-0.65727234,-0.37815857,0.493087765,TRUE
2.8587036,-13.943665,19.557907,0.5805664,-1.9718018,-0.5688324,2.263378,TRUE
1.1181488,-7.142105,7.020294,0.08415222,-0.047943115,-0.38134766,0.270122505,TRUE
1.4322815,3.857727,12.384094,0.08415222,-0.047943115,-0.38134766,4.43956368,TRUE
1.5707703,-5.048111,11.215225,-0.30570984,0.37921143,-0.28227234,1.858043615,TRUE
-1.1249542,-2.2770996,8.209579,0.20559692,-0.3206482,-0.2354126,1.25328053,TRUE
-4.495743,-3.7665558,9.499283,-0.13208008,0.34405518,0.06071472,0.27622603,TRUE
-0.00466919,0.80607605,9.738144,0.15020752,0.5219574,-0.0947876,2.672439595,TRUE
-2.1965027,-0.7373657,11.883179,0.2428894,-0.15872192,0.045806885,2.29805,TRUE
-3.0466156,-1.4276123,10.204987,0.2428894,-0.15872192,0.045806885,1.493412125,TRUE
-0.43218994,-1.6856537,12.312012,0.08415222,-0.053268433,-0.023422241,2.569580145,TRUE
-0.71661377,-2.1089783,10.119522,-0.018096924,-0.13209534,-0.18960571,1.818958252,TRUE
-2.6519012,-0.12742615,10.553665,0.014923096,-0.0980072,0.031951904,1.947315187,TRUE
-1.3438721,-1.6399689,9.957809,0.06391907,-0.15872192,-0.026611328,1.759471768,TRUE
-1.9182129,-1.8214417,10.252426,0.036224365,0.023422241,0.014907837,1.637248941,TRUE
-1.9773865,-1.2165833,9.405121,0.036224365,0.023422241,0.014907837,1.561843891,TRUE
-1.596283,-2.128662,10.67363,0.042617798,0.01914978,0.18215942,1.7478257,TRUE
-0.94210815,-1.677536,10.364685,0.030899048,0.057510376,0.17790222,1.943984975,TRUE
-1.6716309,-1.1999359,9.793991,-0.055374146,-0.042617798,0.15765381,1.716762514,TRUE
-1.111206,-1.2724457,9.761948,-0.08413696,0.001068115,0.1448822,1.823539835,TRUE
-0.8874817,-1.337143,10.07901,-0.08413696,0.001068115,0.1448822,1.942562085,TRUE
-0.73739624,-1.1196594,10.272751,-0.078811646,0.027679443,0.078826904,2.084220929,TRUE
-0.84762573,-0.69818115,10.343674,-0.05644226,-0.027694702,0.051132202,2.185356215,FALSE
-0.5365906,-0.010955811,10.051102,-0.020217896,-0.01171875,-0.013839722,2.370834423,FALSE
-0.3036499,0.5402527,10.053986,-0.06283569,0.05218506,-0.09692383,2.556938278,FALSE
-0.91674805,-0.38508606,10.254669,-0.06283569,0.05218506,-0.09692383,2.2224998,FALSE
-1.3816681,-0.37147522,10.3346405,-0.020217896,0.061767578,-0.10331726,2.140319821,FALSE
-1.7023621,-0.5014038,10.243057,-0.010635376,0.013824463,-0.08201599,2.007163931,FALSE
-1.5380554,-0.20822144,10.065323,-0.02128601,0.006393433,-0.05644226,2.074440038,FALSE
-1.4194031,-0.23538208,10.027695,-0.008499146,0.001068115,-0.026611328,2.091102669,FALSE
-1.2627563,-0.324646,10.192047,-0.008499146,0.001068115,-0.026611328,2.149036389,FALSE
-0.9783783,-0.34095764,10.14212,-0.005310059,-0.006393433,-0.002136231,2.2043685,FALSE
-0.9842224,-0.21665955,10.241348,0.003204346,-0.003204346,0.017044067,2.260917599,FALSE
-1.1812592,-0.15370178,10.170944,0.00958252,0.014892578,0.012786865,2.211391385,FALSE
-1.0905151,-0.22846985,10.165054,0.00958252,-0.005325317,0,2.213912892,FALSE
-1.1822815,-0.25846863,10.065628,-0.006378174,0.018096924,0.002136231,2.154624924,FALSE
-1.2286835,-0.2418518,10.139328,-0.006378174,0.018096924,0.002136231,2.165603632,FALSE
-1.2469025,-0.31718445,10.10144,0.004257202,-0.014923096,-0.005325317,2.135402563,FALSE
-1.2444305,-0.5016632,10.386337,0.034088135,0.001068115,0.012786865,2.168582859,FALSE
-1.2630005,-0.33444214,10.255417,-0.004241943,0.001068115,-0.023422241,2.163433104,FALSE
-0.8313446,-0.28831482,10.348312,-0.019165039,-0.017044067,-0.026611328,2.302371885,FALSE
-1.0162964,-0.19519043,10.23494,-0.019165039,0.012771606,-0.013839722,2.251072033,FALSE
-1.1204834,-0.21376038,10.022339,-0.019165039,0.012771606,-0.013839722,2.167232545,FALSE
-1.2534485,-0.26280212,10.116745,-0.037261963,0.006393433,-0.018096924,2.140808104,FALSE
-1.2104034,-0.33735657,10.057571,-0.03514099,0.018096924,-0.018096924,2.11866751,FALSE
-1.2707825,-0.5258179,10.164719,-0.022354126,-0.003204346,-0.010635376,2.086441119,FALSE
-1.2170868,-0.5262604,10.152908,-0.026611328,-0.009597778,-0.004257202,2.095737368,FALSE
-1.3645782,-0.36558533,10.042892,-0.026611328,-0.009597778,-0.004257202,2.071529286,FALSE
-1.1264496,-0.28475952,10.208313,-0.013824463,-0.01171875,0.014907837,2.195819854,FALSE
-0.9706421,-0.3143463,10.106461,0.002136231,-0.007461548,0.014907837,2.205902208,FALSE
-0.9882202,-0.22132874,10.218262,-0.003173828,-0.006393433,-0.012771606,2.251384808,FALSE
-1.000351,-0.35333252,10.131149,-0.014892578,0.012771606,-0.026611328,2.190643226,FALSE
-1.1811829,-0.265213,10.033554,-0.014892578,0.012771606,-0.026611328,2.143066381,FALSE
-1.3265381,-0.34580994,10.160156,-0.007446289,-0.004272461,-0.023422241,2.120090418,FALSE
-1.2421265,-0.37451172,10.137894,-0.018096924,0.00958252,-0.003189087,2.125789714,FALSE
-1.2095795,-0.29675293,10.253189,0.02130127,0.01171875,0.01171875,2.19203946,FALSE
-1.2411957,-0.2722168,10.3663025,0,-0.036224365,0.2311554,2.2132225,FALSE
-0.61790466,-0.09680176,10.585815,-0.007446289,-0.004272461,0.20133972,2.465915573,FALSE
-0.31983948,-0.40190125,10.128357,-0.03086853,-0.083099365,0.23861694,2.343936935,FALSE
0.12545776,0.30851746,10.203232,0.010650635,-0.031967163,0.12251282,2.661964464,FALSE
-0.13224792,-0.08387756,9.77829,-0.001068115,0.01914978,-0.06602478,2.390274101,FALSE
